feature,coefficient,abs_coefficient,base_feature
bin__contract_missing_flag,0.18283604621438526,0.18283604621438526,contract_missing_flag
bin__satisfaction_missing_flag,-0.1629365251941581,0.1629365251941581,satisfaction_missing_flag
num__arr_amount_qoq_delta_z,-0.15091964767547617,0.15091964767547617,arr_amount_qoq_delta_z
cat__plan_tier_none,0.095770612275698,0.095770612275698,plan_tier_none
num__tenure_x_tickets_opened_qoq_delta_z,-0.09347046898178113,0.09347046898178113,tenure_x_tickets_opened_qoq_delta_z
num__avg_satisfaction,0.0893928760412271,0.0893928760412271,avg_satisfaction
num__tenure_x_usage_drop_flag,-0.08783594745933837,0.08783594745933837,tenure_x_usage_drop_flag
num__tickets_opened_qoq_delta_z,-0.08435925639671894,0.08435925639671894,tickets_opened_qoq_delta_z
num__tenure_z,-0.0661984786674291,0.0661984786674291,tenure_z
num__tenure,-0.06619847866742871,0.06619847866742871,tenure
cat__plan_tier_Enterprise,0.049047512126217434,0.049047512126217434,plan_tier_Enterprise
num__days_to_contract_end_capped,0.019648161472178564,0.019648161472178564,days_to_contract_end_capped
num__seats_qoq_delta_z,0.01777104687253895,0.01777104687253895,seats_qoq_delta_z
num__usage_count_qoq_delta_z,0.0006556877853265208,0.0006556877853265208,usage_count_qoq_delta_z
num__seats,0.0,0.0,seats
bin__usage_drop_flag,0.0,0.0,usage_drop_flag
bin__contract_ending_soon_flag,0.0,0.0,contract_ending_soon_flag
cat__plan_tier_Pro,0.0,0.0,plan_tier_Pro
